epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,1.1992720266714454,0.33504834138392287,0.36111111111111116,0.36111111111111116,309.11607675581894,0.36585365853658536,0.3626373626373627,3e-06,3e-05,0.2,True,0,3,patient,2026-05-03T11:42:00
2,1.175675873450417,0.3491355034674533,0.3823754789272031,0.37174329501915715,334.1944030667237,0.3902439024390244,0.38644688644688646,2.995376000599692e-06,2.995376000599692e-05,0.2,True,0,3,patient,2026-05-03T11:42:07
3,1.168298586804599,0.35417126987146724,0.40392156862745104,0.3824693862219218,115.17162522000056,0.4146341463414634,0.4102564102564103,2.981532510892707e-06,2.9815325108927066e-05,0.2,True,0,3,patient,2026-05-03T11:42:14
4,1.1785273099328106,0.356046316058159,0.3673202614379085,0.3845391029975209,985.2855500259635,0.3902439024390244,0.3846153846153846,2.958554880596515e-06,2.958554880596515e-05,0.2,True,0,3,patient,2026-05-03T11:42:21
5,1.177219741484698,0.35541859007979343,0.36111111111111116,0.3774509803921569,270.16855948480656,0.36585365853658536,0.3626373626373627,2.9265847744427307e-06,2.9265847744427305e-05,0.2,True,0,3,patient,2026-05-03T11:42:28
6,1.1642863673959825,0.3749781125766219,0.40392156862745104,0.3774509803921569,484.51816782050827,0.4146341463414634,0.4102564102564103,2.88581929876693e-06,2.88581929876693e-05,0.2,True,1,3,patient,2026-05-03T11:42:36
7,1.1580392192391789,0.35992963558476054,0.3823754789272031,0.3824693862219218,294.66658165285094,0.3902439024390244,0.38644688644688646,2.836509786282552e-06,2.8365097862825516e-05,0.2,True,2,3,patient,2026-05-03T11:42:45
8,1.1897668698254753,0.34196912153115927,0.32562180949277725,0.3706396190158105,388.7003929031892,0.34146341463414637,0.33699633699633696,2.7789602465311388e-06,2.7789602465311384e-05,0.2,True,3,3,patient,2026-05-03T11:42:54
9,1.1473097055353583,0.38426933008536673,0.36111111111111116,0.35636946651036383,35.51995887992552,0.36585365853658536,0.3626373626373627,2.7135254915624216e-06,2.7135254915624213e-05,0.2,True,4,3,patient,2026-05-03T11:43:02
10,1.142998453130059,0.3769800697236927,0.28352130325814534,0.3234180746206779,468.92695404501524,0.3170731707317073,0.31135531135531136,2.640608948400047e-06,2.6406089484000465e-05,0.2,True,5,3,patient,2026-05-03T11:43:10
11,1.1634972930592011,0.35552634515153475,0.3260504201680672,0.3235609448457746,1449.9110897583857,0.34146341463414637,0.33699633699633696,2.5606601717798217e-06,2.5606601717798212e-05,0.2,True,6,3,patient,2026-05-03T11:43:18
12,1.1638596319259806,0.3715149747681587,0.36111111111111116,0.3235609448457746,258.5983957934306,0.36585365853658536,0.3626373626373627,2.474172072495276e-06,2.4741720724952757e-05,0.2,True,7,3,patient,2026-05-03T11:43:26
13,1.131649928296951,0.39568648120139943,0.3828608667318345,0.3566741326703376,104.92744807193154,0.3902439024390244,0.3864468864468864,2.38167787843871e-06,2.3816778784387097e-05,0.2,True,8,3,patient,2026-05-03T11:43:34
14,1.146668170862657,0.37625160493221665,0.32527480689245397,0.3564155949117999,667.2501523044456,0.34146341463414637,0.33699633699633696,2.2837478470739234e-06,2.283747847073923e-05,0.2,True,9,3,patient,2026-05-03T11:43:42
