epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,3.3495195533025637,0.3142095899288813,0.08888888888888889,0.08888888888888889,4.282307775269331,0.1782178217821782,0.29302832244008714,1e-06,,0.2,True,0,3,patient,2026-05-03T10:48:01
2,2.7695134078724903,0.3592434866024252,0.25378787878787884,0.17133838383838387,2.1467644968105635,0.4752475247524752,0.31209150326797386,3.4000000000000007e-05,,0.2,True,0,3,patient,2026-05-03T10:48:12
3,2.222511251211423,0.42342663833891897,0.31838383838383844,0.22035353535353538,1.7122844424259875,0.5643564356435643,0.35375816993464054,6.700000000000002e-05,,0.2,True,0,3,patient,2026-05-03T10:48:24
4,1.8917224038917615,0.48603866748051744,0.40191387559808617,0.32469519758993454,1.6409500697793549,0.6237623762376238,0.41149237472766886,0.0001,,0.2,True,0,3,patient,2026-05-03T10:48:35
5,1.6978258675984854,0.5125074634304257,0.35497835497835495,0.3584253563200932,1.524314350147587,0.6435643564356436,0.40577342047930287,9.966191788709716e-05,,0.2,True,0,3,patient,2026-05-03T10:48:45
6,1.5076694580915797,0.5604843814501563,0.437719298245614,0.39820384294068506,1.3497270347204524,0.6237623762376238,0.42783224400871456,9.86522435289912e-05,,0.2,True,0,3,patient,2026-05-03T10:48:56
7,1.3673873147872087,0.5711488550030217,0.3761904761904762,0.3896293764714817,1.4045711871018542,0.594059405940594,0.42755991285403044,9.698463103929544e-05,,0.2,True,0,3,patient,2026-05-03T10:49:07
8,1.1999803735314196,0.6190646582268954,0.4535612535612536,0.4224903426657813,1.4451900729696259,0.5544554455445545,0.44716775599128544,9.468163201617062e-05,,0.2,True,1,3,patient,2026-05-03T10:49:18
9,1.0950583662232234,0.6420974111133471,0.39835858585858586,0.4093701052034386,1.4684203085098557,0.5742574257425742,0.43327886710239655,9.177439057064683e-05,,0.2,True,0,3,patient,2026-05-03T10:49:28
10,1.0151909827159475,0.6592013728877948,0.4264705882352941,0.4261301425517112,1.343646426540598,0.5742574257425742,0.4863834422657953,8.83022221559489e-05,,0.2,True,1,3,patient,2026-05-03T10:49:39
11,0.9874494777685603,0.69666572479499,0.41352828238074135,0.4127858188248738,1.3808362268612888,0.5742574257425742,0.44825708061002184,8.43120818934367e-05,,0.2,True,0,3,patient,2026-05-03T10:49:50
12,0.9407054887777766,0.6910647153946647,0.6275853775853776,0.4891947494004711,1.0916509550946358,0.7128712871287128,0.5838779956427015,7.985792958513931e-05,,0.2,True,1,3,patient,2026-05-03T10:50:01
13,0.8909815557549664,0.7322040226825016,0.6140350877192983,0.5517162492284724,1.06061777760661,0.7524752475247525,0.6105664488017429,7.500000000000001e-05,,0.2,True,0,3,patient,2026-05-03T10:50:13
14,0.8104540694773646,0.7703466225501089,0.6607843137254902,0.6341349263433886,1.0809215430084986,0.7425742574257426,0.7121459694989106,6.980398830195785e-05,,0.2,True,0,3,patient,2026-05-03T10:50:23
15,0.8770805562658895,0.7367851272933922,0.6579782790309107,0.6442658934918998,1.043905627105679,0.7128712871287128,0.6301742919389978,6.434016163555452e-05,,0.2,True,0,3,patient,2026-05-03T10:50:34
16,0.823784077000695,0.7577400586276339,0.7108616611952417,0.6765414179838808,0.9903794352638206,0.7821782178217822,0.6612200435729848,5.868240888334653e-05,,0.2,True,0,3,patient,2026-05-03T10:50:44
17,0.8019989896385226,0.7724920427806922,0.6397306397306397,0.669523526652264,1.001460802236586,0.7524752475247525,0.6241830065359477,5.29072414455238e-05,,0.2,True,0,3,patient,2026-05-03T10:50:55
18,0.7697073577936293,0.791200546987833,0.6273116962645439,0.6593013323968084,0.9683470066267116,0.7722772277227723,0.6565904139433552,4.709275855447622e-05,,0.2,True,1,3,patient,2026-05-03T10:51:07
19,0.7594093421175354,0.8026757732793195,0.6606687659319238,0.6425703673090358,0.959302175742676,0.7524752475247525,0.6173747276688454,4.13175911166535e-05,,0.2,True,2,3,patient,2026-05-03T10:51:18
20,0.7764260377514349,0.7788974420902054,0.6200267252898831,0.6360023958287836,0.9696039345883231,0.7623762376237624,0.5988562091503268,3.565983836444549e-05,,0.2,True,3,3,patient,2026-05-03T10:51:29
21,0.802339668486937,0.7860865026923233,0.6371929824561403,0.639296157892649,0.9712228380693431,0.7722772277227723,0.6334422657952069,3.019601169804216e-05,,0.2,True,4,3,patient,2026-05-03T10:51:40
22,0.7288282287133651,0.8151503065915323,0.6414814814814815,0.6329003964091683,0.9293749787425267,0.7821782178217822,0.6230936819172114,2.500000000000001e-05,,0.2,True,5,3,patient,2026-05-03T10:51:51
23,0.6793683851368333,0.8455004844482121,0.6414814814814815,0.6400519818063678,0.9322479330856381,0.801980198019802,0.647331154684096,2.0142070414860704e-05,,0.2,True,6,3,patient,2026-05-03T10:52:02
24,0.7266366483064206,0.8224383559263108,0.6371929824561403,0.6400519818063678,0.9313234664859966,0.801980198019802,0.647331154684096,1.5687918106563326e-05,,0.2,True,7,3,patient,2026-05-03T10:52:13
25,0.7365170841709789,0.8201782193963685,0.6371929824561403,0.6386224821312539,0.9360898035476529,0.7920792079207921,0.6427015250544662,1.1697777844051089e-05,,0.2,True,8,3,patient,2026-05-03T10:52:24
26,0.7718959924864178,0.7975875378067264,0.6371929824561403,0.6371929824561403,0.940741297246239,0.7821782178217822,0.6380718954248366,8.225609429353185e-06,,0.2,True,9,3,patient,2026-05-03T10:52:34
