epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,1.104020254365329,0.2732625904105868,0.15344827586206897,0.15344827586206897,1.109553117788475,0.24752475247524752,0.3553921568627451,1e-06,,0.2,True,0,3,patient,2026-04-29T08:28:40
2,1.0936867913295483,0.36343999762774976,0.35827664399092973,0.25586245992649936,1.1021151278765147,0.33663366336633666,0.39978213507625276,3.4000000000000007e-05,,0.2,True,0,3,patient,2026-04-29T08:28:54
3,1.0706556326356427,0.43732810188818133,0.5035113035113036,0.33841207445476745,1.0637265689500415,0.504950495049505,0.4648692810457516,6.700000000000002e-05,,0.2,True,0,3,patient,2026-04-29T08:29:09
4,1.042693552272073,0.48619289483956757,0.33120772946859905,0.3976652256569441,0.9935121299656293,0.5643564356435643,0.4490740740740741,0.0001,,0.2,True,0,3,patient,2026-04-29T08:29:29
5,1.0191770131731857,0.506362432266834,0.4523809523809524,0.4290333284536183,0.9188748834697344,0.6237623762376238,0.4986383442265796,9.966191788709716e-05,,0.2,True,0,3,patient,2026-04-29T08:29:45
6,0.9981597759600344,0.536703265392708,0.5919913419913421,0.45852667461363117,0.9451838904664717,0.6336633663366337,0.5699891067538126,9.86522435289912e-05,,0.2,True,0,3,patient,2026-04-29T08:30:02
7,0.9856102204528349,0.5421000922102513,0.5173237753882914,0.5205653565868619,0.9830559510311098,0.6237623762376238,0.6048474945533768,9.698463103929544e-05,,0.2,True,0,3,patient,2026-04-29T08:30:19
8,0.9721511574140911,0.5777010418544947,0.59375,0.5676883724598779,0.9554069915800604,0.6633663366336634,0.6751089324618736,9.468163201617062e-05,,0.2,True,0,3,patient,2026-04-29T08:30:37
9,0.9560900320266855,0.5821109902080134,0.5736924906949081,0.5615887553610666,0.8596898927033403,0.7227722772277227,0.6429738562091503,9.177439057064683e-05,,0.2,True,0,3,patient,2026-04-29T08:30:54
10,0.9493181695198191,0.588089000181694,0.638202924770089,0.6018818051549991,0.8780702652822014,0.7524752475247525,0.7086056644880174,8.83022221559489e-05,,0.2,True,1,3,patient,2026-04-29T08:31:06
11,0.9343167443213791,0.5971286386547856,0.6121439585697245,0.6080131246782406,0.87812557384258,0.7029702970297029,0.6405228758169935,8.43120818934367e-05,,0.2,True,0,3,patient,2026-04-29T08:31:25
12,0.9285755352727298,0.6055876739673521,0.6284656084656085,0.6262708306018073,0.927009769978414,0.6831683168316832,0.6911764705882352,7.985792958513931e-05,,0.2,True,0,3,patient,2026-04-29T08:31:39
