epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,1.0998855382685255,0.3588556970531538,0.23041894353369763,0.23041894353369763,1.1534861317117706,0.38613861386138615,0.2935729847494553,1e-06,,0.2,True,0,3,patient,2026-05-03T11:13:05
2,1.097976428700212,0.3879611732681294,0.27756048095031144,0.2539897122420045,1.0879935939196714,0.4158415841584158,0.34422657952069713,1.0800000000000002e-05,,0.2,True,0,3,patient,2026-05-03T11:13:30
3,1.0822610939793746,0.4104607156934361,0.286764705882353,0.2649147101221207,1.0434423484875046,0.4752475247524752,0.3420479302832244,2.0600000000000003e-05,,0.2,True,0,3,patient,2026-05-03T11:13:51
4,1.0690185439856112,0.4548679964672298,0.39512670565302144,0.31981729749522864,0.9863621958036156,0.6237623762376238,0.43736383442265797,3.0400000000000004e-05,,0.2,True,0,3,patient,2026-05-03T11:14:16
5,1.068636604479491,0.43049542482401937,0.39371980676328505,0.3585370727662198,0.9799299434244481,0.6534653465346535,0.474400871459695,4.020000000000001e-05,,0.2,True,0,3,patient,2026-05-03T11:14:43
6,1.0535103345712882,0.4638349374026481,0.2931216931216931,0.3606560685126665,1.0030314896549584,0.5346534653465347,0.36301742919389984,5e-05,,0.2,True,0,3,patient,2026-05-03T11:15:05
7,1.0564874101378048,0.45793617176664503,0.3618768328445748,0.3495727775765176,1.0631587805638787,0.46534653465346537,0.4082244008714597,4.980286753286195e-05,,0.2,True,0,3,patient,2026-05-03T11:15:26
8,1.034428061466299,0.4965974993233086,0.5365079365079365,0.39716882082473476,1.0041909143518248,0.6237623762376238,0.5748910675381264,4.9214579028215776e-05,,0.2,True,1,3,patient,2026-05-03T11:15:46
9,1.0428293396120307,0.4765563308080322,0.40641025641025647,0.43493167525425597,0.9208857285157415,0.6435643564356436,0.40713507625272327,4.8244412147206284e-05,,0.2,True,0,3,patient,2026-05-03T11:16:12
10,1.041761725916416,0.4785957835872155,0.46507936507936504,0.4693325193325193,1.0436077651783406,0.5346534653465347,0.5563725490196079,4.690766700109659e-05,,0.2,True,0,3,patient,2026-05-03T11:16:31
11,1.0274748748290654,0.48840508293412116,0.43067599067599066,0.4340552040552041,1.0106922859757304,0.594059405940594,0.42892156862745096,4.522542485937369e-05,,0.2,True,0,3,patient,2026-05-03T11:16:54
12,1.008899687822463,0.5138628625906525,0.607843137254902,0.5011994976700859,0.9297476403282495,0.7029702970297029,0.647331154684096,4.3224215685535294e-05,,0.2,True,1,3,patient,2026-05-03T11:17:12
13,1.020766169827259,0.4924299883443941,0.39141414141414144,0.4766444231150114,0.9567742596449136,0.594059405940594,0.48747276688453156,4.093559974371725e-05,,0.2,True,0,3,patient,2026-05-03T11:17:38
14,1.0099932235075146,0.5130156426986399,0.5727969348659004,0.5240180711783147,1.0086264701289984,0.6237623762376238,0.7015250544662309,3.8395669874474915e-05,,0.2,True,1,3,patient,2026-05-03T11:17:57
15,0.9933847605348018,0.5418436577231579,0.42500000000000004,0.46307035876001396,1.032205770337248,0.5148514851485149,0.5103485838779956,3.5644482289126814e-05,,0.2,True,0,3,patient,2026-05-03T11:18:17
