epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,1.2873132337797557,0.3462926949488995,0.2932098765432099,0.2932098765432099,1.3096119409762554,0.34146341463414637,0.3282051282051282,2.0000000000000003e-06,2e-05,0.2,True,0,3,patient,2026-04-29T08:21:52
2,1.2761765791090909,0.33237416063069664,0.2932098765432099,0.2932098765432099,1.2839904712594075,0.34146341463414637,0.3282051282051282,1.9969173337331286e-06,1.9969173337331283e-05,0.2,True,0,3,patient,2026-04-29T08:22:00
3,1.3006442720526892,0.3287728886092849,0.33589743589743587,0.3074390629946186,1.2610064063753401,0.36585365853658536,0.35384615384615387,1.987688340595138e-06,1.9876883405951378e-05,0.2,True,1,3,patient,2026-04-29T08:22:07
4,1.2512592560408131,0.33675351609932513,0.33589743589743587,0.32166824944602723,1.238831777750335,0.36585365853658536,0.35384615384615387,1.972369920397677e-06,1.9723699203976765e-05,0.2,True,0,3,patient,2026-04-29T08:22:17
5,1.2366412243306242,0.34128212984837303,0.33589743589743587,0.33589743589743587,1.2211455017883586,0.36585365853658536,0.35384615384615387,1.9510565162951538e-06,1.9510565162951534e-05,0.2,True,0,3,patient,2026-04-29T08:22:27
6,1.1773556358766872,0.3751416186736978,0.2816059757236227,0.3178002825061648,1.1791297071468756,0.2926829268292683,0.2871794871794872,1.9238795325112867e-06,1.9238795325112864e-05,0.2,True,0,3,patient,2026-04-29T08:22:38
7,1.1794983221205655,0.35864914330145514,0.3438339438339439,0.3204457851516675,1.1536471369844046,0.34146341463414637,0.3384615384615384,1.8910065241883678e-06,1.8910065241883673e-05,0.2,True,1,3,patient,2026-04-29T08:22:47
8,1.1466627108340233,0.3667615979229088,0.3943447856491335,0.3399282350689001,1.1348035106007357,0.3902439024390244,0.38974358974358975,1.8526401643540922e-06,1.8526401643540917e-05,0.2,True,2,3,patient,2026-04-29T08:22:58
9,1.1282108201885854,0.3755405442125912,0.36525974025974034,0.3678128232476059,1.1209145739952229,0.36585365853658536,0.36410256410256414,1.8090169943749476e-06,1.809016994374947e-05,0.2,True,0,3,patient,2026-04-29T08:23:12
10,1.113485656037236,0.37420048669504874,0.31114718614718617,0.35691723735201997,1.1133695500237601,0.3170731707317073,0.3128205128205128,1.7604059656000312e-06,1.7604059656000307e-05,0.2,True,0,3,patient,2026-04-29T08:23:22
11,1.0998494519303177,0.38418754721389153,0.3397074610842727,0.33870479583039975,1.1103134747617733,0.34146341463414637,0.3384615384615384,1.7071067811865476e-06,1.707106781186547e-05,0.2,True,1,3,patient,2026-04-29T08:23:32
12,1.0980566304251058,0.38988285036590326,0.3667676767676768,0.33920744133304526,1.1080231814651016,0.36585365853658536,0.36410256410256414,1.649448048330184e-06,1.6494480483301836e-05,0.2,True,2,3,patient,2026-04-29T08:23:43
13,1.0931406103222576,0.3948659491285629,0.3667676767676768,0.3577476048732087,1.1059245767060273,0.36585365853658536,0.36410256410256414,1.5877852522924734e-06,1.587785252292473e-05,0.2,True,3,3,patient,2026-04-29T08:23:52
14,1.1000224978718536,0.36124454221579344,0.3667676767676768,0.3667676767676768,1.1045979735273752,0.36585365853658536,0.36410256410256414,1.522498564715949e-06,1.5224985647159485e-05,0.2,True,4,3,patient,2026-04-29T08:24:03
15,1.0922998796235646,0.3997037132302064,0.38725490196078427,0.373596751832046,1.1027544677627752,0.3902439024390244,0.38632478632478634,1.453990499739547e-06,1.4539904997395465e-05,0.2,True,5,3,patient,2026-04-29T08:24:12
16,1.0896005422074273,0.37805969382663557,0.36588103254769927,0.37330120375872017,1.1033027394217734,0.36585365853658536,0.36410256410256414,1.38268343236509e-06,1.3826834323650895e-05,0.2,True,0,3,patient,2026-04-29T08:24:24
17,1.0784843039038956,0.41657639639145433,0.4090177133655395,0.38738454929134103,1.102785038651887,0.4146341463414634,0.4085470085470086,1.3090169943749477e-06,1.3090169943749472e-05,0.2,True,1,3,patient,2026-04-29T08:24:33
18,1.0893768034233953,0.3950240307006654,0.40841959972394754,0.39443944854572877,1.1029815125909652,0.4146341463414634,0.4085470085470086,1.2334453638559059e-06,1.2334453638559054e-05,0.2,True,0,3,patient,2026-04-29T08:24:46
19,1.0789820435820825,0.4296149378111746,0.38884910485933505,0.4020954726496073,1.105169781986971,0.3902439024390244,0.38632478632478634,1.1564344650402311e-06,1.1564344650402308e-05,0.2,True,0,3,patient,2026-04-29T08:24:58
20,1.07778173361393,0.41186228480443093,0.40841959972394754,0.4018961014357434,1.1064513943950582,0.4146341463414634,0.4085470085470086,1.0784590957278451e-06,1.0784590957278449e-05,0.2,True,0,3,patient,2026-04-29T08:25:09
21,1.089095801391349,0.39446266410609027,0.40841959972394754,0.4018961014357434,1.1059005038338419,0.4146341463414634,0.4085470085470086,1.0000000000000002e-06,9.999999999999999e-06,0.2,True,1,3,patient,2026-04-29T08:25:21
22,1.0820431017717778,0.41483054830786137,0.40841959972394754,0.40841959972394754,1.1056250607745248,0.4146341463414634,0.4085470085470086,9.215409042721553e-07,9.215409042721551e-06,0.2,True,2,3,patient,2026-04-29T08:25:30
