model_type,phase,n_epochs,first_epoch,last_epoch,peak_val_macro_f1_raw,peak_val_macro_f1_raw_epoch,peak_val_macro_f1_rolling,peak_val_macro_f1_rolling_epoch,first_timestamp,last_timestamp
efficientnet_b0_2d,dapt,26,1,26,0.7108616611952417,16,0.6765414179838808,16,2026-05-03T10:48:01,2026-05-03T10:52:34
efficientnet_b0_2d,finetune,22,1,22,0.3338345864661654,10,0.33325597945480984,12,2026-05-03T10:52:44,2026-05-03T10:55:03
resnet50_2d,dapt,22,1,22,0.7915057915057915,11,0.7567677532867406,12,2026-05-03T10:55:25,2026-05-03T11:00:15
resnet50_2d,finetune,36,1,36,0.4418527708850289,33,0.429510831004251,26,2026-05-03T11:00:25,2026-05-03T11:04:45
resnet50_2d_rin,dapt,30,1,30,0.7020202020202021,17,0.6863988307562475,24,2026-05-03T11:26:51,2026-05-03T11:32:51
resnet50_2d_rin,finetune,11,1,11,0.34351395730706075,1,0.34351395730706075,1,2026-05-03T11:33:02,2026-05-03T11:34:09
densenet121_2d,dapt,30,1,30,0.7403508771929824,15,0.7085128241494586,27,2026-05-03T11:05:09,2026-05-03T11:11:15
densenet121_2d,finetune,11,1,11,0.28027644869750135,1,0.28027644869750135,1,2026-05-03T11:11:26,2026-05-03T11:12:35
densenet121_2d_rin,dapt,30,1,30,0.5641666666666666,30,0.5281857956857957,26,2026-05-03T11:34:34,2026-05-03T11:41:49
densenet121_2d_rin,finetune,14,1,14,0.40392156862745104,3,0.3845391029975209,4,2026-05-03T11:42:00,2026-05-03T11:43:42
swin_tiny_2d,dapt,30,1,30,0.7279564879564879,19,0.6819552679498916,20,2026-05-03T11:13:05,2026-05-03T11:23:05
swin_tiny_2d,finetune,19,1,19,0.41523397845236926,12,0.39261559570906795,9,2026-05-03T11:23:18,2026-05-03T11:26:28
