epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,1.3320965855942721,0.1681232034173211,0.06896551724137931,0.06896551724137931,1.1536707340502272,0.11764705882352941,0.3333333333333333,1e-06,,0.2,True,0,3,patient,2026-04-29T05:31:21
2,1.2104167678544135,0.30109328579916816,0.2831469979296066,0.17605625758549298,1.0712484413502263,0.38235294117647056,0.38438982899095714,3.4000000000000007e-05,,0.2,True,0,3,patient,2026-04-29T05:38:02
3,1.178476856209925,0.31171590773913865,0.2666666666666667,0.20625972727921757,0.9866478747012568,0.6666666666666666,0.32554391619661566,6.700000000000002e-05,,0.2,True,0,3,patient,2026-04-29T05:44:34
4,1.187120101263909,0.35106603630933186,0.06896551724137931,0.20625972727921757,1.23181213350857,0.11764705882352941,0.3333333333333333,0.0001,,0.2,True,0,3,patient,2026-04-29T05:51:03
5,1.177941920104363,0.34225298511012797,0.08771929824561403,0.14111716071788669,1.1735979271870034,0.14705882352941177,0.3470319634703196,9.91486549841951e-05,,0.2,True,1,3,patient,2026-04-29T05:57:51
6,1.1776023912726596,0.34596733721112755,0.25746031746031744,0.1380483776491036,1.0698913160492391,0.2647058823529412,0.3119572029725132,9.66236114702178e-05,,0.2,True,2,3,patient,2026-04-29T06:04:19
7,1.1642441930117944,0.3437825530727909,0.224707522579863,0.18996237942859817,1.0851025137246824,0.20588235294117646,0.29272987733906347,9.251085678648073e-05,,0.2,True,3,3,patient,2026-04-29T06:11:45
8,1.1624496707777758,0.3470550396779905,0.2855677655677656,0.255911868535982,1.0398356330161,0.43137254901960786,0.33758617602292057,8.695044586103298e-05,,0.2,True,4,3,patient,2026-04-29T06:19:10
9,1.1653684202071541,0.34964036049221175,0.2945326278659612,0.26826930533786325,1.0018386852507497,0.6078431372549019,0.3063165905631659,8.013173181896285e-05,,0.2,True,0,3,patient,2026-04-29T06:26:37
10,1.1536266595990825,0.37641613342046104,0.2982456140350877,0.29278200248960484,1.0347520101304148,0.5196078431372549,0.334855403348554,7.228691778882694e-05,,0.2,True,0,3,patient,2026-04-29T06:33:28
11,1.1511178681959255,0.3664536933486779,0.20698412698412696,0.2665874562950586,1.2598300471025354,0.19607843137254902,0.43300653594771243,6.368314950360418e-05,,0.2,True,0,3,patient,2026-04-29T06:40:04
12,1.149164001229393,0.33754044491507623,0.20120120120120114,0.2354769807401386,1.2496435431873096,0.19607843137254902,0.47385620915032683,5.4613417973165126e-05,,0.2,True,1,3,patient,2026-04-29T06:46:31
13,1.1531873699045774,0.3490293424584771,0.3638638638638639,0.257349730683064,1.0341428529982473,0.5490196078431373,0.39367893276031873,4.538658202683492e-05,,0.2,True,2,3,patient,2026-04-29T06:52:55
14,1.1347937578976897,0.3982813401183438,0.21090909090909093,0.2586580519913853,1.1225518245323032,0.3235294117647059,0.44426537738383026,3.6316850496395874e-05,,0.2,True,3,3,patient,2026-04-29T06:59:27
15,1.1276829915422621,0.3821817706783403,0.31774761186525896,0.2975068555460712,0.9931262264064714,0.5588235294117647,0.3531202435312024,2.771308221117312e-05,,0.2,True,4,3,patient,2026-04-29T07:05:52
16,1.1239960594295961,0.4144964872409534,0.17264957264957267,0.23376875847464085,1.1523283813513963,0.20588235294117646,0.46467902229384905,1.9868268181037192e-05,,0.2,True,0,3,patient,2026-04-29T07:12:23
17,1.1260889605367828,0.3755151032449901,0.31862068965517243,0.2696726247233347,1.1096342287811578,0.3333333333333333,0.45310681350165644,1.304955413896704e-05,,0.2,True,1,3,patient,2026-04-29T07:18:47
18,1.118923034905398,0.41091687092197543,0.3297707871210594,0.2736803498086015,1.096921281487334,0.4411764705882353,0.5196749932849852,7.489143213519302e-06,,0.2,True,2,3,patient,2026-04-29T07:25:24
19,1.1299502901516514,0.4217374135586031,0.29386845039018955,0.3140866423888071,1.0873065871350907,0.38235294117647056,0.4295147282657355,3.3763885297822156e-06,,0.2,True,3,3,patient,2026-04-29T07:33:50
20,1.120085587392704,0.40738823556477893,0.31157287157287156,0.31173736969470683,1.091500739256541,0.3333333333333333,0.42859700958008773,8.51345015804911e-07,,0.2,True,0,3,patient,2026-04-29T07:42:27
