epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,1.0996713160829314,0.3258917351341804,0.5080995868667102,0.5080995868667102,1.070744043239807,0.5544554455445545,0.4022331154684096,1e-06,,0.2,True,0,3,patient,2026-04-29T16:24:54
2,1.0664549249746205,0.44418186063179393,0.5111111111111111,0.5096053489889106,1.0289241545679613,0.5445544554455446,0.551470588235294,1.0800000000000002e-05,,0.2,True,0,3,patient,2026-04-29T16:28:05
3,1.0145358361923023,0.5167661259002827,0.5875980042765502,0.5356029007514572,0.9487228843243675,0.6336633663366337,0.6312636165577342,2.0600000000000003e-05,,0.2,True,0,3,patient,2026-04-29T16:31:19
4,0.9319816106605785,0.5952870474734863,0.4102564102564103,0.5029885085480238,0.9627425713090193,0.6039603960396039,0.5098039215686274,3.0400000000000004e-05,,0.2,True,0,3,patient,2026-04-29T16:34:34
5,0.8732997814388122,0.6603695759775614,0.4041282389108476,0.467327551147936,0.9834368407877954,0.6138613861386139,0.4940087145969499,4.020000000000001e-05,,0.2,True,1,3,patient,2026-04-29T16:37:40
6,0.8033827225580292,0.7162816297696472,0.40583207642031166,0.40673890852918987,1.3072102181329073,0.39603960396039606,0.4793028322440087,5e-05,,0.2,True,2,3,patient,2026-04-29T16:40:48
7,0.7523023804934351,0.7589531535441966,0.31054131054131057,0.37350054195748994,1.0525510788873862,0.6435643564356436,0.33088235294117646,4.980286753286195e-05,,0.2,True,3,3,patient,2026-04-29T16:43:59
8,0.6949485896419904,0.7973973264608579,0.5092436974789916,0.40853902814687126,0.8982998005306447,0.7326732673267327,0.5087145969498911,4.9214579028215776e-05,,0.2,True,4,3,patient,2026-04-29T16:47:07
9,0.6367480659133308,0.8398998102330543,0.3414781297134238,0.38708771257790864,1.001793730956604,0.7029702970297029,0.35866013071895425,4.8244412147206284e-05,,0.2,True,5,3,patient,2026-04-29T16:50:13
10,0.635793158308111,0.8421669732796474,0.5255819060166886,0.45876791106970133,0.98148243921707,0.6831683168316832,0.5305010893246188,4.690766700109659e-05,,0.2,True,6,3,patient,2026-04-29T16:53:19
11,0.6075146909054099,0.8609103843157492,0.4839964633068082,0.4503521663456402,1.0492893279205449,0.6435643564356436,0.556917211328976,4.522542485937369e-05,,0.2,True,7,3,patient,2026-04-29T16:56:26
12,0.5869171912804366,0.8768232096887657,0.48444444444444446,0.49800760458931376,0.9843272465179288,0.6831683168316832,0.4842047930283225,4.3224215685535294e-05,,0.2,True,8,3,patient,2026-04-29T16:59:31
13,0.557501469940027,0.8927850336660667,0.4342857142857142,0.46757554067898893,1.0373069682649074,0.7029702970297029,0.4485294117647059,4.093559974371725e-05,,0.2,True,9,3,patient,2026-04-29T17:02:34
