model_type,model_label,dataset,class,f1,f1_ci_lo,f1_ci_hi,auc,auc_ci_lo,auc_ci_hi
mil_resnet50,MIL ResNet-50,Lung-PET-CT-Dx (test),Adenocarcinoma,0.7096774193548387,0.5816795069337442,0.8183155080213903,0.7807017543859649,0.6368421052631579,0.8964912280701754
mil_resnet50,MIL ResNet-50,Lung-PET-CT-Dx (test),Small Cell,0.25,0.0,0.6666666666666666,0.6702127659574468,0.41125886524822686,0.9114361702127659
mil_resnet50,MIL ResNet-50,Lung-PET-CT-Dx (test),Squamous,0.3888888888888889,0.24981060606060607,0.5142857142857142,0.6616161616161615,0.4646464646464647,0.8333964646464647
mil_resnet50,MIL ResNet-50,BigLunge (test),Adenocarcinoma,0.3076923076923077,0.08333333333333333,0.5185185185185185,0.4833333333333333,0.30828125,0.66875
mil_resnet50,MIL ResNet-50,BigLunge (test),Small Cell,0.25641025641025644,0.1025,0.41046511627906956,0.4397321428571428,0.25,0.6339843749999999
mil_resnet50,MIL ResNet-50,BigLunge (test),Squamous,0.2222222222222222,0.0,0.4444444444444444,0.35624999999999996,0.19781249999999997,0.53125
mil_swin_tiny,MIL Swin-Tiny (RadImageNet),Lung-PET-CT-Dx (test),Adenocarcinoma,0.6440677966101696,0.5082627118644067,0.7762476679104476,0.7859649122807018,0.6508333333333334,0.9035087719298245
mil_swin_tiny,MIL Swin-Tiny (RadImageNet),Lung-PET-CT-Dx (test),Small Cell,0.15384615384615383,0.0,0.4444444444444444,0.7021276595744681,0.5460992907801419,0.8582446808510638
mil_swin_tiny,MIL Swin-Tiny (RadImageNet),Lung-PET-CT-Dx (test),Squamous,0.3529411764705882,0.1875,0.5,0.6363636363636364,0.46458333333333335,0.8082070707070705
mil_swin_tiny,MIL Swin-Tiny (RadImageNet),BigLunge (test),Adenocarcinoma,0.43137254901960786,0.3017864311521477,0.5385416666666666,0.48541666666666666,0.29984375,0.6813541666666666
mil_swin_tiny,MIL Swin-Tiny (RadImageNet),BigLunge (test),Small Cell,0.2608695652173913,0.0,0.48,0.4910714285714286,0.30803571428571425,0.6563058035714285
mil_swin_tiny,MIL Swin-Tiny (RadImageNet),BigLunge (test),Squamous,0.0,0.0,0.0,0.3729166666666667,0.21458333333333335,0.5416666666666666
