model_type,dataset,phase,n_patients,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,balanced_acc,balanced_acc_ci_lo,balanced_acc_ci_hi,f1_adeno,f1_smallcell,f1_squamous,f1_adeno_ci,f1_smallcell_ci,f1_squamous_ci,ci_n_boot,timestamp
densenet121_2d,Lung-PET-CT-Dx (test),dapt_test,53,0.6149707602339182,0.45221744731647934,0.7684686831233334,0.6228070175438596,0.456140350877193,0.7896929824561401,0.88,0.3333333333333333,0.631578947368421,"[0.8055555555555556, 0.9473684210526315]","[0.0, 0.6666666666666666]","[0.37444852941176476, 0.8421052631578947]",1000,2026-04-28T08:53:57
densenet121_2d,BigLunge (test),test,43,0.3927469135802469,0.23280668105994856,0.5361875300093691,0.39487179487179486,0.23589743589743586,0.5452991452991452,0.43749999999999994,0.3703703703703704,0.3703703703703704,"[0.2220238095238095, 0.6206896551724138]","[0.14801587301587302, 0.5714285714285714]","[0.14285714285714285, 0.5806451612903226]",1000,2026-04-29T06:57:57
efficientnet_b0_2d,Lung-PET-CT-Dx (test),dapt_test,53,0.5537817145603735,0.39897452265099326,0.7184147143705968,0.5682261208576999,0.40250974658869404,0.7505116959064327,0.8493150684931505,0.28571428571428575,0.5263157894736842,"[0.7575757575757576, 0.9315068493150684]","[0.0, 0.5882352941176471]","[0.25, 0.7619047619047619]",1000,2026-04-27T20:50:09
efficientnet_b0_2d,BigLunge (test),test,43,0.4524024024024024,0.30511148644558256,0.5992402659069325,0.4615384615384615,0.3212820512820513,0.6051282051282051,0.5405405405405405,0.41666666666666663,0.4,"[0.375, 0.6857142857142857]","[0.16666666666666666, 0.64]","[0.16, 0.6153846153846154]",1000,2026-04-29T06:55:10
resnet50_2d,Lung-PET-CT-Dx (test),dapt_test,53,0.4711111111111112,0.3861693861693862,0.5570175438596491,0.5399610136452241,0.42884990253411304,0.6315789473684211,0.8533333333333334,0.0,0.56,"[0.7670241528478731, 0.9230769230769231]","[0.0, 0.0]","[0.36363636363636365, 0.7619047619047619]",1000,2026-04-28T04:28:16
resnet50_2d,BigLunge (test),test,43,0.40392156862745093,0.2673868196850389,0.5469782410571883,0.4102564102564103,0.2735042735042735,0.5504273504273504,0.4117647058823529,0.3,0.5,"[0.20689655172413793, 0.5945945945945946]","[0.0, 0.521853546910755]","[0.3028619528619529, 0.6875]",1000,2026-04-29T06:57:38
resnet50_2d_rin,Lung-PET-CT-Dx (test),dapt_test,53,0.5876328502415459,0.44313401875901876,0.74506264640986,0.6335282651072124,0.48635477582846004,0.7904727095516568,0.8695652173913043,0.3333333333333333,0.56,"[0.7811217350746269, 0.9444444444444444]","[0.0, 0.6666666666666666]","[0.38452380952380955, 0.75]",1000,2026-04-29T07:33:02
resnet50_2d_rin,BigLunge (test),test,43,0.3398102536033571,0.2016493879683535,0.47220316115960403,0.35042735042735046,0.21025641025641026,0.48042735042735035,0.3888888888888889,0.3448275862068966,0.28571428571428575,"[0.1935483870967742, 0.5556201550387596]","[0.14273399014778326, 0.5384615384615384]","[0.0, 0.5217391304347826]",1000,2026-04-29T07:35:37
swin_tiny_2d,Lung-PET-CT-Dx (test),dapt_test,53,0.6541991341991342,0.48114680507286145,0.8072110294617949,0.6890838206627681,0.5224171539961014,0.8538255360623781,0.8571428571428572,0.5454545454545454,0.56,"[0.7647058823529411, 0.9333333333333333]","[0.2, 0.8333333333333334]","[0.3702020202020202, 0.7368421052631579]",1000,2026-04-28T09:00:25
swin_tiny_2d,BigLunge (test),test,43,0.42572786690433745,0.27223737686288985,0.5644480767135228,0.43247863247863244,0.29572649572649573,0.5726495726495727,0.42424242424242425,0.3529411764705882,0.5,"[0.21428571428571427, 0.6060606060606061]","[0.0, 0.6]","[0.3125, 0.6666666666666666]",1000,2026-04-29T06:58:26
swin_unetr,Lung-PET-CT-Dx (test),dapt_test,53,0.3771043771043771,0.23931623931623933,0.5250880901140944,0.37524366471734893,0.24756335282651074,0.5233918128654971,0.7272727272727273,0.1818181818181818,0.2222222222222222,"[0.6283976833976834, 0.8148148148148148]","[0.0, 0.46153846153846156]","[0.0, 0.5]",1000,2026-04-29T07:43:13
mil_resnet50,Lung-PET-CT-Dx (test),dapt_test,53,0.4495221027479092,0.3051092622776491,0.6069762137504073,0.5077972709551657,0.37134502923976603,0.6530458089668616,0.7096774193548387,0.25,0.3888888888888889,"[0.5816795069337442, 0.8183155080213903]","[0.0, 0.6666666666666666]","[0.24981060606060607, 0.5142857142857142]",1000,2026-04-28T23:14:48
mil_resnet50,BigLunge (test),test,46,0.34351395730706075,0.19939723022075964,0.48502499669907906,0.3541666666666667,0.22023809523809523,0.5030505952380951,0.28571428571428575,0.4,0.3448275862068966,"[0.07992307692307693, 0.5161290322580645]","[0.21621621621621623, 0.5716165413533832]","[0.09977272727272729, 0.5454545454545454]",1000,2026-04-29T04:05:30
