epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,1.105599191297475,0.3241806530097188,0.20697167755991286,0.20697167755991286,1.1033034779643285,0.27722772277227725,0.2576252723311547,1e-06,,0.2,True,0,3,patient,2026-04-28T02:27:01
2,1.082302737555619,0.4078459229924596,0.36190476190476195,0.2844382197323374,1.0149885925627846,0.693069306930693,0.4684095860566449,3.4000000000000007e-05,,0.2,True,0,3,patient,2026-04-28T02:58:30
3,0.9967944116439001,0.5599789681090197,0.6423611111111112,0.40374585019192866,0.8772981758336075,0.7227722772277227,0.6947167755991286,6.700000000000002e-05,,0.2,True,0,3,patient,2026-04-28T03:12:38
4,0.8999837228823603,0.6537665341473731,0.6307811167945439,0.545015663270139,0.8498717155165345,0.7128712871287128,0.658769063180828,0.0001,,0.2,True,0,3,patient,2026-04-28T03:23:24
5,0.7931616312377254,0.7401264124709269,0.5055555555555555,0.5928992611537368,0.9596599313139006,0.6237623762376238,0.5789760348583878,9.91486549841951e-05,,0.2,True,0,3,patient,2026-04-28T03:29:07
6,0.7119780146404502,0.8015776617985401,0.6055116381203338,0.5806161034901444,0.9163093457695182,0.7029702970297029,0.639161220043573,9.66236114702178e-05,,0.2,True,0,3,patient,2026-04-28T03:32:55
7,0.6631599495302256,0.8378409881116777,0.6158714703018501,0.5756462213259131,0.7764387590284566,0.7722772277227723,0.5816993464052288,9.251085678648073e-05,,0.2,True,1,3,patient,2026-04-28T03:36:26
8,0.5970239055700021,0.8857367159912221,0.7165213781652139,0.6459681621957993,0.7681047051917506,0.8316831683168316,0.7075163398692811,8.695044586103298e-05,,0.2,True,2,3,patient,2026-04-28T03:39:03
9,0.597428853773879,0.892578129149129,0.664967320261438,0.6657867229095006,0.770485574052534,0.7821782178217822,0.6394335511982571,8.013173181896285e-05,,0.2,True,0,3,patient,2026-04-28T03:41:42
10,0.590868826270423,0.9001830906152567,0.8187134502923977,0.7334007162396832,0.702394392654186,0.8712871287128713,0.7178649237472766,7.228691778882694e-05,,0.2,True,0,3,patient,2026-04-28T03:42:58
11,0.5249791705576409,0.9259213789959894,0.7662768031189083,0.7499858578909148,0.7243677309451212,0.8514851485148515,0.7167755991285403,6.368314950360418e-05,,0.2,True,0,3,patient,2026-04-28T03:43:33
12,0.5478937260906435,0.9281867388700428,0.7507507507507508,0.7785803347206857,0.7939303303492888,0.7920792079207921,0.6658496732026143,5.4613417973165126e-05,,0.2,True,0,3,patient,2026-04-28T03:44:07
13,0.51295477209398,0.933441583452639,0.6965811965811964,0.7378695834836185,0.7422504129300591,0.801980198019802,0.6160130718954248,4.538658202683492e-05,,0.2,True,0,3,patient,2026-04-28T03:44:36
14,0.5153492826239353,0.9428723652463105,0.7931697931697932,0.7468339135005801,0.7458412842896148,0.8118811881188119,0.6220043572984749,3.6316850496395874e-05,,0.2,True,1,3,patient,2026-04-28T03:45:13
15,0.49628884891402625,0.938775652888079,0.7652086475615887,0.751653212437526,0.733910049190958,0.8217821782178217,0.6416122004357298,2.771308221117312e-05,,0.2,True,2,3,patient,2026-04-28T03:45:39
16,0.5167844718806546,0.942304688145776,0.705758252668156,0.7547122311331793,0.7510986824072045,0.8118811881188119,0.6070261437908497,1.9868268181037192e-05,,0.2,True,3,3,patient,2026-04-28T03:45:50
17,0.49389696971341046,0.9479088217750054,0.630532212885154,0.7004997043716329,0.746275752555323,0.801980198019802,0.579248366013072,1.304955413896704e-05,,0.2,True,4,3,patient,2026-04-28T03:46:02
18,0.4471320850280271,0.9643681383860168,0.705758252668156,0.6806829060738221,0.7266691044996713,0.801980198019802,0.579248366013072,7.489143213519302e-06,,0.2,True,5,3,patient,2026-04-28T03:46:26
19,0.4989778296237976,0.9487192752968011,0.705758252668156,0.6806829060738221,0.7362012945058691,0.8118811881188119,0.6070261437908497,3.3763885297822156e-06,,0.2,True,6,3,patient,2026-04-28T03:46:41
20,0.5329280037982215,0.9253813097021607,0.705758252668156,0.705758252668156,0.7311425236345247,0.8118811881188119,0.6070261437908497,8.51345015804911e-07,,0.2,True,7,3,patient,2026-04-28T03:46:53
