model_type,model_label,dataset,class,f1,f1_ci_lo,f1_ci_hi,auc,auc_ci_lo,auc_ci_hi
efficientnet_b0_2d,EffNet-B0 (2D),Lung-PET-CT-Dx (test),Adenocarcinoma,0.8493150684931505,0.7575757575757576,0.9315068493150684,0.868421052631579,0.768421052631579,0.9526315789473684
efficientnet_b0_2d,EffNet-B0 (2D),Lung-PET-CT-Dx (test),Small Cell,0.28571428571428575,0.0,0.5882352941176471,0.7624113475177305,0.5779255319148936,0.9361702127659574
efficientnet_b0_2d,EffNet-B0 (2D),Lung-PET-CT-Dx (test),Squamous,0.5263157894736842,0.25,0.7619047619047619,0.8383838383838383,0.696969696969697,0.952020202020202
efficientnet_b0_2d,EffNet-B0 (2D),BigLunge (test),Adenocarcinoma,0.5405405405405405,0.375,0.6857142857142857,0.6952380952380953,0.5380952380952382,0.8333333333333333
efficientnet_b0_2d,EffNet-B0 (2D),BigLunge (test),Small Cell,0.41666666666666663,0.16666666666666666,0.64,0.7435897435897436,0.5717948717948719,0.8846794871794872
efficientnet_b0_2d,EffNet-B0 (2D),BigLunge (test),Squamous,0.4,0.16,0.6153846153846154,0.6238095238095238,0.43327380952380945,0.7904761904761904
resnet50_2d,ResNet-50 (2D),Lung-PET-CT-Dx (test),Adenocarcinoma,0.8533333333333334,0.7670241528478731,0.9230769230769231,0.8456140350877194,0.7262719298245615,0.9439035087719297
resnet50_2d,ResNet-50 (2D),Lung-PET-CT-Dx (test),Small Cell,0.0,0.0,0.0,0.7163120567375887,0.4785460992907801,0.9256205673758865
resnet50_2d,ResNet-50 (2D),Lung-PET-CT-Dx (test),Squamous,0.56,0.36363636363636365,0.7619047619047619,0.7424242424242424,0.5527777777777777,0.9040404040404041
resnet50_2d,ResNet-50 (2D),BigLunge (test),Adenocarcinoma,0.4117647058823529,0.20689655172413793,0.5945945945945946,0.6023809523809525,0.43077380952380956,0.7714880952380953
resnet50_2d,ResNet-50 (2D),BigLunge (test),Small Cell,0.3,0.0,0.521853546910755,0.7076923076923077,0.5564102564102564,0.8538461538461538
resnet50_2d,ResNet-50 (2D),BigLunge (test),Squamous,0.5,0.3028619528619529,0.6875,0.6428571428571429,0.4690476190476191,0.8119047619047619
densenet121_2d,DenseNet121 (2D),Lung-PET-CT-Dx (test),Adenocarcinoma,0.88,0.8055555555555556,0.9473684210526315,0.9035087719298246,0.8157894736842105,0.9719298245614035
densenet121_2d,DenseNet121 (2D),Lung-PET-CT-Dx (test),Small Cell,0.3333333333333333,0.0,0.6666666666666666,0.6808510638297872,0.425531914893617,0.9185283687943262
densenet121_2d,DenseNet121 (2D),Lung-PET-CT-Dx (test),Squamous,0.631578947368421,0.37444852941176476,0.8421052631578947,0.7752525252525253,0.5808080808080809,0.9368686868686869
densenet121_2d,DenseNet121 (2D),BigLunge (test),Adenocarcinoma,0.43749999999999994,0.2220238095238095,0.6206896551724138,0.5785714285714285,0.3976190476190476,0.7524404761904762
densenet121_2d,DenseNet121 (2D),BigLunge (test),Small Cell,0.3703703703703704,0.14801587301587302,0.5714285714285714,0.5769230769230769,0.39230769230769236,0.7666666666666667
densenet121_2d,DenseNet121 (2D),BigLunge (test),Squamous,0.3703703703703704,0.14285714285714285,0.5806451612903226,0.5738095238095239,0.3904166666666667,0.7500595238095239
swin_tiny_2d,Swin-Tiny (2D),Lung-PET-CT-Dx (test),Adenocarcinoma,0.8571428571428572,0.7647058823529411,0.9333333333333333,0.880701754385965,0.7824561403508772,0.9614035087719298
swin_tiny_2d,Swin-Tiny (2D),Lung-PET-CT-Dx (test),Small Cell,0.5454545454545454,0.2,0.8333333333333334,0.7872340425531915,0.5425531914893617,0.9787234042553191
swin_tiny_2d,Swin-Tiny (2D),Lung-PET-CT-Dx (test),Squamous,0.56,0.3702020202020202,0.7368421052631579,0.8383838383838385,0.6994318181818181,0.9419823232323232
swin_tiny_2d,Swin-Tiny (2D),BigLunge (test),Adenocarcinoma,0.42424242424242425,0.21428571428571427,0.6060606060606061,0.6000000000000001,0.41660714285714284,0.769047619047619
swin_tiny_2d,Swin-Tiny (2D),BigLunge (test),Small Cell,0.3529411764705882,0.0,0.6,0.6948717948717948,0.4897435897435898,0.8641025641025641
swin_tiny_2d,Swin-Tiny (2D),BigLunge (test),Squamous,0.5,0.3125,0.6666666666666666,0.6023809523809524,0.402202380952381,0.7833928571428571
