epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,3.3127362301138708,0.3190806027005937,0.08888888888888889,0.08888888888888889,4.313092700094364,0.15841584158415842,0.2837690631808279,1e-06,,0.2,True,0,3,patient,2026-04-27T20:45:49
2,2.711882094211936,0.3522513556241475,0.25985663082437277,0.17437275985663084,2.219791072015544,0.43564356435643564,0.2935729847494553,3.4000000000000007e-05,,0.2,True,0,3,patient,2026-04-27T20:46:12
3,2.3214335845558636,0.4124364827573552,0.3575757575757576,0.23544042576300642,1.6988613159601924,0.6039603960396039,0.3954248366013072,6.700000000000002e-05,,0.2,True,0,3,patient,2026-04-27T20:46:33
4,1.8783703495286426,0.471631195736319,0.5780952380952381,0.3985092088317895,1.4715882485149472,0.6831683168316832,0.4855664488017429,0.0001,,0.2,True,0,3,patient,2026-04-27T20:46:49
5,1.6732757276248675,0.5273309000144341,0.4444444444444444,0.46003848003848,1.5722775386489984,0.6633663366336634,0.46813725490196073,9.91486549841951e-05,,0.2,True,0,3,patient,2026-04-27T20:47:03
6,1.553021704223776,0.5484657116425938,0.42717717717717724,0.48323895323895333,1.4613100093132971,0.6435643564356436,0.497004357298475,9.66236114702178e-05,,0.2,True,0,3,patient,2026-04-27T20:47:18
7,1.4700550480758217,0.5470706711232443,0.4470320809744382,0.43955123419868664,1.4670034237490355,0.5742574257425742,0.44144880174291945,9.251085678648073e-05,,0.2,True,0,3,patient,2026-04-27T20:47:30
8,1.2583020615513778,0.5972864870165688,0.4314509411960686,0.435220066449228,1.266180186477933,0.6435643564356436,0.5038126361655774,8.695044586103298e-05,,0.2,True,1,3,patient,2026-04-27T20:47:43
9,1.1461784213861257,0.6220049742982915,0.34516594516594523,0.4078829891121507,1.6108149177852173,0.504950495049505,0.4839324618736383,8.013173181896285e-05,,0.2,True,2,3,patient,2026-04-27T20:47:54
10,1.113796550403012,0.6308820427652182,0.5716939510042959,0.4494369457887699,1.2902675685081773,0.6435643564356436,0.6032135076252724,7.228691778882694e-05,,0.2,True,3,3,patient,2026-04-27T20:48:06
11,1.051440955231081,0.6469854949901439,0.5264784946236559,0.481112796931299,1.3012101310506727,0.6138613861386139,0.55119825708061,6.368314950360418e-05,,0.2,True,4,3,patient,2026-04-27T20:48:18
12,0.9958881474052613,0.6773675133842044,0.5696649029982362,0.555945782875396,1.2780573107207398,0.6633663366336634,0.5988562091503269,5.4613417973165126e-05,,0.2,True,5,3,patient,2026-04-27T20:48:29
13,0.9441380703417289,0.6971606947079367,0.6372814291117511,0.5778082755778811,1.1785436258971236,0.7227722772277227,0.6661220043572985,4.538658202683492e-05,,0.2,True,0,3,patient,2026-04-27T20:48:41
14,0.905407108474353,0.7171430753762521,0.6170057381324987,0.607984023414162,1.1511929465917534,0.7326732673267327,0.6244553376906318,3.6316850496395874e-05,,0.2,True,0,3,patient,2026-04-27T20:48:53
15,0.9418512658842767,0.7057736424983494,0.6319603356216629,0.6287491676219709,1.1252605168874028,0.7425742574257426,0.6753812636165577,2.771308221117312e-05,,0.2,True,0,3,patient,2026-04-27T20:49:05
16,0.9137053768372727,0.7034416459767692,0.6746031746031745,0.6411897494524453,1.0714188195366896,0.7524752475247525,0.6718409586056645,1.9868268181037192e-05,,0.2,True,0,3,patient,2026-04-27T20:49:17
17,0.8851717508510354,0.7296668802011946,0.6556644880174293,0.6540759994140889,1.054989450153807,0.7722772277227723,0.6960784313725491,1.304955413896704e-05,,0.2,True,0,3,patient,2026-04-27T20:49:29
18,0.8404150666244548,0.7441770497226501,0.6556644880174293,0.6619773835460111,1.0266762859645386,0.7524752475247525,0.6636710239651417,7.489143213519302e-06,,0.2,True,0,3,patient,2026-04-27T20:49:41
19,0.864976356464161,0.7399220742141734,0.6136372357162044,0.6416554039170209,1.005953087454837,0.7623762376237624,0.6451525054466232,3.3763885297822156e-06,,0.2,True,0,3,patient,2026-04-27T20:49:53
20,0.8782468838602224,0.7256659371163189,0.6136372357162044,0.6276463198166127,1.0062897108286695,0.7623762376237624,0.6451525054466232,8.51345015804911e-07,,0.2,True,1,3,patient,2026-04-27T20:50:05
