epoch,train_loss,train_macro_f1,val_macro_f1_raw,val_macro_f1_rolling,val_loss,val_accuracy,val_balanced_accuracy,lr_backbone,lr_head,mixup_alpha,mixup_active,epochs_no_improve,monitor_window,monitor_level,timestamp
1,1.3577729263053036,0.306605870376862,0.21296296296296294,0.21296296296296294,1.366586230556417,0.2682926829268293,0.25811965811965815,2.0000000000000003e-06,2e-05,0.2,True,0,3,patient,2026-04-28T21:26:52
2,1.2881900514198454,0.35221700051521765,0.2600955794504182,0.2365292712066906,1.3319049355406198,0.2926829268292683,0.2837606837606838,1.9969173337331286e-06,1.9969173337331283e-05,0.2,True,0,3,patient,2026-04-28T21:27:02
3,1.2819734977570592,0.3238651316381947,0.2600955794504182,0.24438470728793313,1.3008295082897874,0.2926829268292683,0.2837606837606838,1.987688340595138e-06,1.9876883405951378e-05,0.2,True,0,3,patient,2026-04-28T21:27:18
4,1.2407157893212426,0.3516162788068204,0.2600955794504182,0.2600955794504182,1.2721213050510571,0.2926829268292683,0.2837606837606838,1.972369920397677e-06,1.9723699203976765e-05,0.2,True,0,3,patient,2026-04-28T21:27:31
5,1.2505702104000067,0.335397271092353,0.2600955794504182,0.2600955794504182,1.248898242571339,0.2926829268292683,0.2837606837606838,1.9510565162951538e-06,1.9510565162951534e-05,0.2,True,0,3,patient,2026-04-28T21:27:45
6,1.201837270307225,0.34964853466029827,0.40003483106931387,0.3067419966567168,1.1930176027072883,0.3902439024390244,0.38632478632478634,1.9238795325112867e-06,1.9238795325112864e-05,0.2,True,1,3,patient,2026-04-28T21:27:59
7,1.184105856687028,0.3413909668596056,0.3547559553556556,0.3382954552917959,1.1729424747621051,0.34146341463414637,0.34529914529914535,1.8910065241883678e-06,1.8910065241883673e-05,0.2,True,0,3,patient,2026-04-28T21:28:15
8,1.1397467779007968,0.38970143429536397,0.40280446287120375,0.3858650830987244,1.1581535968721284,0.3902439024390244,0.38974358974358975,1.8526401643540922e-06,1.8526401643540917e-05,0.2,True,0,3,patient,2026-04-28T21:28:29
9,1.1286595502436556,0.3734530811115741,0.39399014778325125,0.3838501886700369,1.1451314028745854,0.3902439024390244,0.39316239316239315,1.8090169943749476e-06,1.809016994374947e-05,0.2,True,0,3,patient,2026-04-28T21:28:47
10,1.115007507090537,0.39108980654646697,0.323399897593446,0.373398169415967,1.135555224389023,0.3170731707317073,0.3162393162393162,1.7604059656000312e-06,1.7604059656000307e-05,0.2,True,1,3,patient,2026-04-28T21:29:00
11,1.1042362882601504,0.3934177842304618,0.29305555555555557,0.33681520031075096,1.126102228342376,0.2926829268292683,0.2905982905982906,1.7071067811865476e-06,1.707106781186547e-05,0.2,True,2,3,patient,2026-04-28T21:29:15
12,1.0943187539940638,0.3956644108345258,0.4020293432058138,0.3394949321182718,1.117357249585738,0.3902439024390244,0.38974358974358975,1.649448048330184e-06,1.6494480483301836e-05,0.2,True,3,3,patient,2026-04-28T21:29:28
13,1.092494639655612,0.400001244612368,0.35091991341991347,0.3486682707270943,1.1115004883049437,0.34146341463414637,0.34188034188034183,1.5877852522924734e-06,1.587785252292473e-05,0.2,True,4,3,patient,2026-04-28T21:29:38
14,1.092196358592305,0.3974447113202047,0.34769251319040945,0.3668805899387122,1.1065883414345499,0.34146341463414637,0.34188034188034183,1.522498564715949e-06,1.5224985647159485e-05,0.2,True,5,3,patient,2026-04-28T21:29:51
15,1.081228427539598,0.437007073443264,0.34769251319040945,0.34876831326691077,1.1057311289058709,0.34146341463414637,0.34188034188034183,1.453990499739547e-06,1.4539904997395465e-05,0.2,True,6,3,patient,2026-04-28T21:30:02
16,1.0916574544464515,0.39068132779810855,0.343424317617866,0.346269781332895,1.103574290038636,0.34146341463414637,0.34188034188034183,1.38268343236509e-06,1.3826834323650895e-05,0.2,True,7,3,patient,2026-04-28T21:30:15
17,1.0701025124417236,0.45320464959277934,0.3751803751803752,0.3554324019962169,1.104077787132737,0.36585365853658536,0.36410256410256414,1.3090169943749477e-06,1.3090169943749472e-05,0.2,True,8,3,patient,2026-04-28T21:30:26
18,1.077851924833083,0.4347014609025015,0.34769251319040945,0.3554324019962169,1.1042127283463568,0.34146341463414637,0.34188034188034183,1.2334453638559059e-06,1.2334453638559054e-05,0.2,True,9,3,patient,2026-04-28T21:30:38
